h3_index,lat,lon,reisezeit_stunden
841336bffffffff,68.36290124287532,-131.15429419022666,34.9511604309082
840ad6dffffffff,60.73673299702356,106.26982385453123,23.79676055908203
8483aa3ffffffff,-6.052298000285425,15.067106580026541,14.776565551757812
84b26a9ffffffff,-29.739714412614845,-61.868654199833614,23.308734893798828
84a8d17ffffffff,-15.053724285434113,-47.279450546063714,16.933551788330078
8442cebffffffff,22.910140804317017,72.48513980715747,13.342035293579102
84ad80dffffffff,-26.705077120460153,19.740184962182298,19.33584976196289
842cd95ffffffff,35.40931444273898,57.265610384132515,15.697495460510254
84a9647ffffffff,-29.7742504660435,-58.03373890065987,23.054914474487305
845f58bffffffff,10.170554506305926,-61.473141152811195,11.44307804107666
84ad9dbffffffff,-24.69424130245802,17.892028944173965,16.967912673950195
8424d31ffffffff,36.078055990105916,104.78742216358343,16.59637451171875
845f1cdffffffff,5.201337545095779,-54.5086613157309,15.407065391540527
8482a27ffffffff,0.025121045137551718,14.936669749437309,17.865034103393555
8482a99ffffffff,-0.5528705564331149,10.76788039971777,13.895392417907715
8431365ffffffff,45.912823829732844,115.59019245271877,19.132497787475586
8445085ffffffff,20.420029643876774,-87.8972754105416,13.76084041595459
84ecf15ffffffff,-69.23656861272781,131.61806747500646,30.48126983642578
8480169ffffffff,-5.0161645596637605,-38.07518887981558,15.0005464553833
8483a47ffffffff,-8.983033984174488,17.93211230462683,17.358638763427734
841626dffffffff,57.947610919502885,159.50133760622137,32.181068420410156
8430a6bffffffff,36.34823857188854,117.76301743694567,15.222429275512695
8420a99ffffffff,41.56086948374787,73.56692612484676,14.950174331665039
8448c09ffffffff,32.282593920387676,-107.86383872966859,15.896389961242676
846acb9ffffffff,-0.9018445780572458,33.03299014293407,18.632741928100586
84b9aa1ffffffff,-30.618770485266324,136.82645707739,27.139455795288086
84172c5ffffffff,64.13351932016091,156.95506671334846,27.08974266052246
849443dffffffff,-11.315174825545748,132.5639582488335,26.90325927734375
846bb09ffffffff,9.07808223066759,15.496782220822752,15.788603782653809
8404e27ffffffff,70.14412575797935,159.20485221121078,30.96918487548828
8440715ffffffff,25.14994947834384,103.11193435995003,15.247756004333496
842a8d5ffffffff,37.228758199348725,-78.24888347729964,11.605257987976074
84b80edffffffff,-29.242740209419782,128.61805109958115,40.979835510253906
849d4bdffffffff,-20.863023790613383,138.90285900883077,30.988542556762695
84a90c3ffffffff,-29.556879166976607,-52.36260679553557,18.78841781616211
842059bffffffff,47.25606391242,86.92817859377737,17.333560943603516
849d487ffffffff,-21.25055820777379,139.0241669812563,26.371171951293945
843e9d1ffffffff,19.122416337571398,19.59160369184836,31.3282527923584
8420803ffffffff,37.89811540330038,71.55896671145224,14.449441909790039
849cf27ffffffff,-8.352472488139757,143.53952720875023,33.685726165771484
84206c7ffffffff,52.28388329434674,84.20131890748253,12.883699417114258
843128dffffffff,45.6260600858702,123.40383115313851,16.937623977661133
8466c3bffffffff,0.3488421037865171,-75.2043278109463,25.59006690979004
84125e3ffffffff,53.08184284904753,-109.17355236388303,14.15373420715332
8494cb7ffffffff,-19.053087648285242,133.35204513117486,37.951515197753906
843cd95ffffffff,20.727125564028547,94.66332367612878,18.91497230529785
842712bffffffff,50.42163805472144,-101.34024085185843,15.581945419311523
84f2b25ffffffff,-87.11706844049715,145.09197065289004,30.47577667236328
8468657ffffffff,12.776191857527902,124.12865690099524,18.75150489807129
842a365ffffffff,43.787747516148784,-72.09917663216275,10.390564918518066
8443947ffffffff,20.28674863780443,55.04352254711354,15.549966812133789
8445911ffffffff,20.912670275422535,-77.83980432678726,14.789791107177734
84664a5ffffffff,1.583534746793392,-68.20820222463229,45.486690521240234
84550b5ffffffff,20.572808226194933,-10.80559060529477,33.07406997680664
840b929ffffffff,53.6101356642996,88.60135377397502,13.196043968200684
84b98a1ffffffff,-27.748178671540053,135.9976685187751,30.84478759765625
842b817ffffffff,45.20587660243932,-75.2164313927843,9.037099838256836
8411299ffffffff,64.38795997357505,30.722601003705723,9.553760528564453
84b9899ffffffff,-29.26123296529524,134.30599191099387,28.909040451049805
842d2d9ffffffff,45.45658070402399,32.9954092640507,9.393133163452148
84542b1ffffffff,15.741554436489338,-10.67827226876105,22.179628372192383
84424d1ffffffff,31.431185861728203,74.15885038833053,10.137750625610352
8481311ffffffff,-14.489196017766083,-41.17818351686786,17.37033462524414
843caa9ffffffff,22.857549910979664,85.26850166331539,14.47104549407959
8483307ffffffff,-12.745032254439963,15.240156235453231,14.372081756591797
849d6b9ffffffff,-23.923523616866188,139.46101965037045,30.530282974243164
8472897ffffffff,-3.905158320340114,139.4441782162702,28.603046417236328
846d68bffffffff,10.785546292905483,-84.96827694273516,16.142019271850586
84136c3ffffffff,64.82560864549326,-99.13284159850612,37.15034103393555
8496013ffffffff,-12.999061258952926,27.384558995211012,16.75202751159668
84f0a0dffffffff,-74.65982369241478,89.18834895345775,30.48126983642578
