iata_code,name,lat,lon,reisezeit_stunden,anzahl_umstiege
MKK,Molokai Airport,21.15290069580078,-157.0959930419922,20.86,2
VDM,Gobernador Castello Airport,-40.8692,-63.0004,20.87,2
IRC,Circle City /New/ Airport,65.830498,-144.076008,20.89,3
PSS,Libertador Gral D Jose De San Martin Airport,-27.3858,-55.9707,20.89,2
MUE,Waimea Kohala Airport,20.001300811767575,-155.66799926757812,20.92,2
MUR,Marudi Airport,4.178979873657227,114.3290023803711,20.94,2
NIB,Nikolai Airport,63.0186,-154.358002,20.98,3
ROP,Rota International Airport,14.17430019378662,145.2429962158203,20.99,2
JHM,Kapalua Airport,20.962900161743164,-156.67300415039062,21.0,2
AFA,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039,21.0,2
VEE,Venetie Airport,67.0086975098,-146.365997314,21.0,3
FMA,Formosa Airport,-26.2127,-58.2281,21.02,2
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,-27.765556335399996,-64.3099975586,21.03,2
YZG,Salluit Airport,62.17940139770508,-75.66719818115234,21.04,5
ODN,Long Seridan Airport,3.9670000076293945,115.0500030517578,21.04,2
LMN,Limbang Airport,4.808300018310547,115.01000213623048,21.04,2
CTC,Catamarca Airport,-28.5956001282,-65.751701355,21.05,2
WSN,South Naknek Nr 2 Airport,58.7033996582,-157.007995605,21.06,3
LKH,Long Akah Airport,3.299999952316284,114.78299713134766,21.07,2
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,-2.74571990967,107.754997253,21.07,2
IRJ,Capitan V A Almonacid Airport,-29.3815994263,-66.7957992554,21.08,2
KLN,Larsen Bay Airport,57.5350990295,-153.977996826,21.08,3
LGL,Long Lellang Airport,3.4210000038099997,115.153999329,21.09,2
UAQ,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,21.09,2
SLA,Martin Miguel De Guemes International Airport,-24.856000900299996,-65.4861984253,21.09,2
NQN,Presidente Peron Airport,-38.949001,-68.155701,21.1,2
